class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,maturalny,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieTak,1,nizsza,bezZmian,2,K
pierwszej,inny,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,prawidlowyPrzebieg,takTak,3,nizsza,mocnoMaleje,2,BO
pierwszej,maturalny,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,brakUwagi,takTak,4,wyzsza,bezZmian,3,BO
pierwszej,inny,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,takNie,3,nizsza,mocnoMaleje,1,K
pierwszej,inny,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,pilnowal,takNie,3,wyzsza,mocnoMaleje,1,K
pierwszej,maturalny,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,prawidlowyPrzebieg,takNie,2,nizsza,mocnoMaleje,1,BO
pierwszej,inny,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,prawidlowyPrzebieg,takTak,4,nizsza,chcePracowac,3,BO
drugiej,zawodowy,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,pilnowal,takTak,2,wyzsza,mocnoMaleje,3,M
pierwszej,maturalny,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,pilnowal,nieNie,5,dokladnie,mocnoRosnie,5,BO
pierwszej,maturalny,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,pilnowal,nieTak,2,wyzsza,mocnoRosnie,4,M
drugiej,inny,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,takNie,2,nizsza,mocnoMaleje,1,K
drugiej,inny,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,prawidlowyPrzebieg,nieNie,4,wyzsza,bezZmian,2,K
trzeciej,maturalny,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,prawidlowyPrzebieg,takTak,3,nizsza,mocnoMaleje,3,K
trzeciej,zawodowy,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,pilnowal,nieTak,4,dokladnie,chcePracowac,1,K
pierwszej,inny,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,prawidlowyPrzebieg,nieNie,5,dokladnie,bezZmian,3,K
drugiej,inny,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,takNie,2,nizsza,mocnoMaleje,3,K
trzeciej,maturalny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brakUwagi,takNie,1,nizsza,mocnoMaleje,1,M
drugiej,maturalny,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,prawidlowyPrzebieg,takNie,1,nizsza,mocnoMaleje,2,K
pierwszej,inny,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pilnowal,nieNie,5,dokladnie,mocnoRosnie,3,BO
drugiej,maturalny,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,pilnowal,takNie,1,nizsza,mocnoMaleje,1,K
